Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,Sales General and Admin.,Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income-Cont. Operations,Net Income,Net Income Applicable to Common Shareholders
EIM,9/30/2007,10.53,10.93,3.7986704653371355,90797,6045,84753,0,1835,0,0,82918,-42104,67925,0,67925,0,0,0,40815,40815,18967
EIM,9/30/2006,10.53,10.93,3.7986704653371355,125776,6027,119749,0,1732,0,0,118018,-4622,68536,0,68536,0,0,0,113396,113396,95071
EIM,9/30/2005,10.53,10.93,3.7986704653371355,125332,5819,119513,0,1704,0,0,117808,-10137,68447,0,68447,0,0,0,107672,107672,96437
LIND,12/31/2019,16.38,17.12,4.51770451770453,343091,166608,176483,0,117516,0,25769,33198,28,33226,12288,20938,2190,0,-2395,16353,16353,13699
LIND,12/31/2018,13.31,16.35,22.839969947407972,309734,153743,155991,0,109885,0,20768,25338,-2340,22998,10830,12168,616,0,-200,11352,11352,11352
LIND,12/31/2017,9.8,13.46,37.3469387755102,266504,135526,130978,0,102883,0,17351,10744,1465,12209,9736,2473,10002,0,-1132,-8661,-8661,-8661
LIND,12/31/2016,9.54,9.99,4.7169811320754835,242346,118977,123369,0,90968,0,18420,13981,-1976,12005,10146,1859,-3200,0,-195,4864,4864,4864
BILI,12/31/2019,19.47,85.72,340.2670775552132,973042,802170,170873,128402,257119,0,0,-214648,39338,-175310,6682,-181992,5149,0,2096,-185046,-185046,-185046
BILI,12/31/2018,14,18.62,33.00000000000001,601385,476789,124596,78286,152486,0,0,-106176,27665,-78511,0,-78511,3785,0,1937,-80359,-80359,-89769
BILI,12/31/2017,9.8,14.59,48.87755102040815,379062,294724,84338,43012,75766,0,0,-34440,7587,-26853,0,-26853,1364,0,0,-28217,-28217,-87768
BILI,12/31/2016,9.8,11.24,14.693877551020401,75302,111204,-35902,13126,79717,0,0,-128746,-1963,-130708,0,-130708,452,0,206,-130954,-130954,-170537
IVAC,12/28/2019,6.64,7.45,12.1987951807229,108885,68017,40868,14309,22627,7,0,3925,582,4507,0,4507,3359,0,0,1148,1148,1148
IVAC,12/29/2018,5.11,6.91,35.225048923679054,95114,62420,32694,16862,20188,-139,0,-4217,622,-3595,0,-3595,-7176,0,0,3581,3581,3581
IVAC,12/30/2017,6.85,5.23,-23.64963503649634,112847,67184,45663,17724,23314,-223,0,4848,373,5221,0,5221,1103,0,0,4118,4118,4118
IVAC,12/31/2016,8.8,6.6,-25.00000000000001,80124,49715,30409,18156,19916,-100,0,-7563,373,-7190,0,-7190,251,0,0,-7441,-7441,-7441
LBC,12/31/2019,11.52,9.8,-14.930555555555546,271817,105092,0,0,59750,0,3868,0,0,103107,33643,69464,20603,0,0,48861,48861,48861
LBC,12/31/2018,8.93,11.53,29.115341545352738,230188,69112,0,0,59874,0,6413,0,0,94789,31858,62931,17871,0,0,45060,45060,45060
LBC,12/31/2017,11.92,9.02,-24.32885906040269,181745,38813,0,0,53641,0,-469,0,0,89760,24529,65231,-4153,0,0,69384,69384,69384
LBC,12/31/2016,11.75,12.18,3.659574468085104,152003,31648,0,0,58369,0,-9830,0,0,71816,17876,53940,1819,0,0,52121,52121,52121
AEGN,12/31/2019,22.57,18.99,-15.861763402747016,1213935,967700,246235,0,199430,35832,0,10973,-9855,1118,14002,-12884,6564,0,-1444,-20892,-20892,-20892
AEGN,12/31/2018,16.1,22.37,38.94409937888199,1333568,1066642,266926,0,219823,17456,0,29647,-9365,20282,17327,2955,-132,0,-159,2928,2928,2928
AEGN,12/31/2017,25.52,16.32,-36.05015673981191,1359019,1074207,284812,0,226173,102159,0,-43520,-2056,-45576,16001,-61577,5005,0,-2819,-69401,-69401,-69401
AEGN,12/31/2016,24.09,25.4,5.437941054379406,1221920,967993,253927,0,197897,11864,0,50791,6097,50263,15029,35234,6109,0,328,29453,29453,29453
SPXC,12/31/2019,51.23,54.54,6.461057973843456,1525400,1084300,441100,0,320300,4000,8900,107900,-3700,104200,21000,83200,13500,0,5600,69700,65300,70900
SPXC,12/31/2018,27.12,50.88,87.61061946902655,1538600,1127900,410700,0,292600,6300,4200,107600,-6500,101100,21500,79600,1400,0,0,78200,81200,81200
SPXC,12/31/2017,31.65,28.01,-11.500789889415474,1425800,1095600,330200,0,277200,2700,600,59900,3500,53200,17100,36100,-47900,0,0,84000,89300,89300
SPXC,12/31/2016,24.12,32.2,33.49917081260366,1472300,1096500,375800,0,286000,35400,2800,70000,2600,54200,14800,39400,9100,0,-17700,30300,-67600,-85300
PTVCA,12/31/2019,15.75,15.06,-4.380952380952377,495597,348468,147129,0,0,0,138456,8673,0,8673,0,8673,1326,0,0,7347,7347,7347
PTVCA,12/31/2018,16.7,15.75,-5.688622754491014,439169,345864,93305,0,0,0,137177,-43872,0,-43872,0,-43872,-9797,0,0,-34075,-34075,-34075
PTVCA,12/31/2017,22.9186,17,-25.82443953819169,371234,247518,123716,0,0,0,113594,10122,0,10122,0,10122,-8201,0,0,18323,18323,18323
PTVCA,12/31/2016,25,23.069,-7.724000000000003,318997,186481,132516,0,0,0,89462,43054,0,43054,0,43054,14109,0,0,28945,28945,28945
EHI,5/31/2009,12.64,12.62,-0.1582278481012765,36634,4865,31769,0,2130,0,0,29639,-91300,29639,2894,26745,0,0,0,-64555,-64555,-64555
EHI,5/31/2008,12.64,12.62,-0.1582278481012765,40934,6328,34606,0,419,0,0,34187,-38156,32161,4948,27213,0,0,0,-8917,-8917,-8917
EHI,5/31/2007,12.64,12.62,-0.1582278481012765,63496,6609,56886,0,351,0,0,56535,-895,31169,5674,25495,0,0,0,49966,49966,49966
EHI,5/31/2006,12.64,12.62,-0.1582278481012765,62624,6969,55655,0,110,0,0,55545,-21895,33581,4712,28869,0,0,0,28937,28937,28937
GSV,12/31/2019,0.9,0.7238,-19.57777777777778,0,0,0,0,7046,0,286,-7333,-116,-7449,46,-7495,0,0,0,-7495,-7495,-7495
GSV,12/31/2018,1.24,0.856,-30.96774193548387,0,0,0,0,8119,0,132,-8251,754,-7497,0,-7497,0,0,0,-7497,-7497,-7497
GSV,12/31/2017,1.75,1.25,-28.571428571428573,0,0,0,0,8097,0,36,-8133,-342,-8475,0,-8475,0,-644,0,-9120,-9120,-9120
GSV,12/31/2016,2.15,1.8,-16.279069767441854,0,0,0,0,6482,0,8,-6489,-267,-6757,0,-6757,0,-301,0,-7058,-7058,-7058
GPM,12/31/2008,9.57,9.52,-0.5224660397074264,7126,3612,3515,0,2546,0,0,969,-113967,969,0,969,0,0,0,-112998,-112998,-112998
GPM,12/31/2007,9.57,9.52,-0.5224660397074264,45030,5147,39884,0,4917,0,0,34966,-25522,-1955,0,-1955,0,0,0,9445,9445,9445
GPM,12/31/2006,9.57,9.52,-0.5224660397074264,39268,5163,34105,0,1952,0,0,32153,0,1388,0,1388,0,0,0,32153,32153,32153
GPM,12/31/2005,9.57,9.52,-0.5224660397074264,10445,1569,8876,0,475,0,0,8401,-5748,806,0,806,0,0,0,2654,2654,2654
EYES,12/31/2019,5.912,1.87,-68.36941813261164,3379,2152,1227,13143,18681,3357,0,-33954,362,-33592,0,-33592,0,0,0,-33592,-33592,-33592
EYES,12/31/2018,7.2,5.936,-17.555555555555557,6896,4888,2008,10005,26628,555,0,-35180,86,-35094,0,-35094,0,0,0,-35094,-35094,-35094
EYES,12/31/2017,15.36,7.084,-53.880208333333336,7964,5117,2847,7893,23563,0,0,-28609,93,-28516,0,-28516,0,0,0,-28516,-28516,-28516
EYES,12/31/2016,15.92,16.08,1.0050251256281304,3985,10076,-6091,5347,21772,0,0,-33210,31,-33179,0,-33179,0,0,0,-33179,-33179,-33179
NVS,12/31/2019,94.69,94.43,-0.27458020910338043,48677000,14425000,34252000,9402000,15764000,0,0,9086000,45000,9790000,850000,8940000,1793000,659000,0,7147000,11737000,11737000
NVS,12/31/2018,84.4,94.69,12.191943127962073,46099000,14510000,31589000,8489000,14697000,0,0,8403000,186000,15027000,932000,14095000,1295000,6438000,0,12800000,12614000,12614000
NVS,12/31/2017,84.11,85.81,2.0211627630483924,43404000,13633000,29771000,8389000,12680000,0,0,8702000,42000,9852000,750000,9102000,1603000,1108000,0,7499000,7703000,7703000
NVS,12/31/2016,72.89,84.68,16.17505830703801,49436000,17520000,31916000,9039000,14609000,0,0,8268000,-447000,8524000,707000,7817000,1119000,703000,0,7401000,6698000,6698000
MCHP,3/31/2019,84.14,67.8,-19.420014261944385,5349500,2418200,2931300,826300,682900,33700,674100,714300,-6700,707400,502900,204500,-151400,-200,0,355700,355900,355900
MCHP,3/31/2018,90.99,87.46,-3.879547202989341,3980800,1560100,2420700,529300,452100,17500,485500,936300,200,936300,199000,737300,481900,-200,0,255200,255400,255400
MCHP,3/31/2017,73.94,87.63,18.515012172031373,3407800,1650600,1757200,545300,499800,98600,337700,275800,-39500,236100,146300,89800,-80800,-200,0,170600,164600,164600
ICUI,12/31/2019,187.2,214.49,14.577991452991464,1266208,794344,471864,48611,235319,80574,0,107360,7896,115256,549,114707,13672,0,0,101035,101035,101035
ICUI,12/31/2018,227.28,187.12,-17.669834565293908,1400040,830012,570028,52867,382015,105390,0,29756,-6673,23083,709,22374,-6419,0,0,28793,28793,28793
ICUI,12/31/2017,217,229.63,5.8202764976958505,1292613,866518,426095,51253,310169,77967,0,-13294,66624,53330,2047,51283,-17361,0,0,68644,68644,68644
ICUI,12/31/2016,148,216.1,46.01351351351351,379372,177974,201398,12955,89426,16076,0,82941,2341,85282,118,85164,22080,0,0,63084,63084,63084
UBA,10/31/2019,24.39,9.79,-59.86059860598607,136882,45514,91368,0,9751,0,27930,53687,787,54474,14102,40372,0,1241,-4333,37280,37280,22128
UBA,10/31/2018,19.94,24.33,22.016048144433285,134722,43402,91320,0,9567,0,28327,53426,350,53776,13678,40098,0,2085,-4716,37467,37467,25217
UBA,10/31/2017,21.8,19.91,-8.669724770642205,123560,39695,83865,0,9504,0,26512,47266,18507,65773,12981,52792,0,2057,-2499,52350,52933,33898
MARK,12/31/2019,0.53,1.9,258.49056603773585,5020,3514,1506,3573,17183,2522,982,-22754,1626,-21128,1876,-23004,0,0,0,-23004,-25614,-25614
MARK,12/31/2018,1.17,0.515,-55.982905982905976,10053,12903,-2850,4393,32959,2209,2089,-44500,29032,-15468,3237,-18705,-140,0,0,-18565,-21558,-21558
MARK,12/31/2017,9.76,1.21,-87.60245901639345,70601,16909,53692,11642,53713,14646,11070,-37379,-64433,-101812,4645,-106457,278,0,0,-106735,-106735,-106735
MARK,12/31/2016,4.16,10.35,148.7980769230769,59328,11155,48173,2796,56516,1159,10299,-22597,-3651,-26248,4685,-30933,746,0,0,-31679,-31679,-31679
EGF,12/31/2008,15.44,15.39,-0.3238341968911848,23955,1992,21963,0,131,0,0,21832,-23518,12007,216,11791,0,0,0,-1902,-1902,-1902
EGF,12/31/2007,15.44,15.39,-0.3238341968911848,24046,2140,21906,0,338,0,0,21568,-15718,11654,930,10724,0,0,0,4920,4920,4920
EGF,12/31/2006,15.44,15.39,-0.3238341968911848,12301,2195,10105,0,190,0,0,9915,-803,9915,0,9915,0,0,0,9112,9112,9112
EGF,12/31/2005,15.44,15.39,-0.3238341968911848,3248,374,2874,0,24,0,0,2850,0,1637,0,1637,0,0,0,2850,2850,2850
BPOP,12/31/2019,58.92,56.32,-4.412763068567551,2830676,304858,0,0,1468112,0,175149,0,0,882557,64241,818316,147181,0,0,671135,671135,667412
BPOP,12/31/2018,46.3,58.75,26.88984881209504,2674342,204265,0,0,1412236,0,237398,0,-12522,820443,82706,737737,119579,0,0,618158,618158,614435
BPOP,12/31/2017,35.83,47.22,31.78900362824449,2145111,141864,0,0,1247818,0,334802,0,0,420627,82116,338511,230830,0,0,107681,107681,103958
BPOP,12/31/2016,44.48,35.65,-19.851618705035968,1932509,127577,0,0,1239690,3801,182160,0,0,379281,84941,294340,78784,0,0,215556,216691,212968
NOAH,12/31/2019,35.79,47.81,33.58480022352613,486931,0,486931,0,336811,18767,0,131353,7671,139025,62,138963,31587,16626,-4968,119033,119033,119033
NOAH,12/31/2018,42.4,35.37,-16.580188679245285,479137,0,479137,0,344288,-100,0,134950,13851,148802,1461,147341,32381,2107,1100,118167,118167,118167
NOAH,12/31/2017,46.98,43.32,-7.790549169859508,434107,0,434107,0,314463,321,0,119323,17798,137122,3705,133417,30572,14149,163,117156,117156,117156
NOAH,12/31/2016,22.01,47.34,115.08405270331667,361691,0,361691,0,265671,0,0,96020,12309,108330,2776,105554,22735,3215,6610,92644,92644,92644
BCH,12/31/2019,21,20.38,-2.952380952380957,3829000,0,0,0,1278000,3000,535000,0,0,2021000,0,1034000,231000,8000,0,811000,803000,803000
BCH,12/31/2018,28.53,20.99,-26.42832106554505,3849000,0,0,0,1365000,0,414000,0,0,2079000,0,1100000,230000,10000,0,880000,870000,870000
BCH,12/31/2017,31.8016,28.6,-10.067417991547591,4006000,0,0,0,1416000,0,421000,0,0,2178000,0,1118000,188000,9000,0,939000,930000,930000
BCH,12/31/2016,22.3206,32.8971,47.38447891185722,3774000,0,0,0,1301000,0,440000,0,0,2039000,0,1008000,150000,6000,0,865000,859000,859000
FUNC,12/31/2019,24,15.5,-35.416666666666664,74703,7791,0,0,45389,0,1320,0,0,20203,3738,16465,3336,0,0,13129,13129,13129
FUNC,12/31/2018,15.9,24.09,51.50943396226415,67462,4246,0,0,43808,0,2111,0,0,17297,3866,13431,2764,0,0,10667,10667,10667
FUNC,12/31/2017,17.35,15.92,-8.242074927953897,61289,3291,0,0,39170,0,2534,0,0,16294,4080,12214,6945,0,0,5269,5269,4054
FUNC,12/31/2016,16.15,17.4,7.739938080495357,60516,3150,0,0,39107,0,3122,0,0,15137,5073,10064,2783,0,0,7281,7281,5256
BBL,6/30/2019,51.83,41.15,-20.605826741269535,44288000,0,44288000,0,27823000,0,0,16465000,446000,16911000,1510000,15401000,5335000,-546000,-879000,9520000,8306000,8306000
BBL,6/30/2018,43.63,51.38,17.763007105202842,43129000,0,43129000,0,27408000,0,0,15721000,322000,16043000,1567000,14476000,6879000,147000,-1118000,7744000,3705000,3705000
BBL,6/30/2017,31.12,43.49,39.74935732647815,35740000,0,35740000,0,23625000,0,0,12115000,143000,12258000,1560000,10698000,4276000,272000,-332000,6694000,5890000,5890000
PBTS,12/31/2019,2.66,2.35,-11.654135338345867,20095,14030,6065,2164,11860,3294,0,-11252,252,-11000,0,-11000,-213,0,0,-10787,-10787,-10787
PBTS,12/31/2018,5.5,2.7,-50.90909090909091,23152,15319,7834,1992,4461,368,0,1013,584,1597,0,1597,43,0,-7,1546,1546,1546
PBTS,12/31/2017,5.5,5.14,-6.54545454545455,21629,13540,8089,1152,3050,27,0,3860,553,4413,0,4413,435,0,7,3985,3985,3985
PBTS,12/31/2016,5.5,5.14,-6.54545454545455,21175,13647,7528,948,2841,0,0,3740,268,3990,0,3990,536,0,0,3454,3454,3454
CDNS,12/28/2019,69.99,134.76,92.54179168452637,2336319,266357,2069962,935938,621479,8621,12128,491796,6001,497797,18829,478968,-510011,0,0,988979,988979,988979
CDNS,12/29/2018,43.6,69.99,60.52752293577981,2138022,258747,1879275,884816,573075,11089,14086,396209,3320,399529,23139,376390,30613,0,0,345777,345777,345777
CDNS,12/30/2017,42,43.48,3.523809523809516,1943032,237390,1705642,804223,553342,9406,14716,323955,16755,340710,25664,315046,110945,0,0,204101,204101,204101
CDNS,12/31/2016,25.43,42.05,65.3558788832088,1816083,256492,1559591,735340,520300,40955,18095,244901,15922,260823,23670,237153,34067,0,0,203086,203086,203086
NGHCO,12/31/2019,25.295,25.16,-0.5337023127100279,5179594,3681835,1497759,0,1041772,0,0,404443,0,455987,51544,404443,77013,0,20639,327430,348069,314469
NGHCO,12/31/2018,19.87,25.15,26.57272269753396,4607971,3397492,1210479,0,938046,0,0,221008,0,272433,51425,221008,53484,0,39830,167524,207354,174862
NGHCO,12/31/2017,25.13,19.87,-20.93115797851173,4422074,3298511,1123563,0,912996,0,0,163481,0,210567,47086,163481,61273,0,3637,102208,105845,74345
NGHCO,12/31/2016,24.8,24.78,-0.08064516129032086,3568987,2589287,979700,0,709148,0,0,230372,0,270552,40180,230372,33998,0,-20668,196374,175706,151373
ALBO,12/31/2019,25.73,37.51,45.783132530120476,9636,0,9636,45575,25173,0,0,-61112,3691,-57421,5296,-62717,0,0,0,-62717,-62717,-62717
ALBO,12/31/2018,24.24,25.42,4.8679867986798815,12740,0,12740,31732,18898,0,0,-37890,-3363,-41253,4838,-46091,20,0,0,-46111,-46111,-46111
ALBO,12/31/2017,25.87,24.53,-5.17974487823734,1,0,1,12991,11587,0,0,-24577,335,-24202,0,-24202,212,0,0,-24414,-24414,-24414
ALBO,12/31/2016,18.17,26.78,47.38580077050082,11364,0,11364,8077,15581,0,0,-12294,-2675,-16288,0,-16288,62,0,0,-16350,-16350,-16350
KIQ,12/31/2019,0.7693,0.545,-29.156375926166636,20551,10968,9583,1129,4560,364,69,3461,-28,3433,0,3433,99,0,0,3334,3334,3334
KIQ,12/31/2018,0.435,0.7231,66.22988505747125,12717,7429,5287,1353,3389,568,30,-52,-4,-57,0,-57,-251,0,0,194,194,194
KIQ,12/31/2017,0.54,0.4331,-19.796296296296305,6063,5044,1019,1573,4035,680,17,-5286,120,-5166,0,-5166,-150,0,0,-5016,-5016,-5016
KIQ,12/31/2016,0.9589,0.508,-47.02263009698613,8077,6099,1978,705,4524,358,3,-3612,157,-3455,0,-3455,-989,0,0,-2466,-2466,-2466
NWS,6/30/2019,14.17,11.95,-15.66690190543402,10074000,0,10074000,0,8830000,188000,659000,397000,33000,413000,59000,354000,126000,-17000,-73000,138000,155000,155000
NWS,6/30/2018,15.7,13.99,-10.891719745222925,9024000,0,9024000,0,7953000,351000,472000,248000,-324000,-1082000,7000,-1089000,355000,-1006000,-70000,-2520000,-1514000,-1514000
NWS,6/30/2017,14.3,15.45,8.041958041958031,8139000,0,8139000,0,7257000,927000,449000,-494000,135000,-615000,0,-615000,28000,-295000,-95000,-1033000,-738000,-738000
SPWH,2/2/2019,5.13,6.27,22.222222222222218,849129,564199,284930,0,240911,0,0,44019,0,44019,13206,30813,7063,0,0,23750,23750,23750
SPWH,2/3/2018,4.89,5.23,6.952965235173839,809671,535811,273860,0,227292,0,0,46568,0,46568,13738,32830,15088,0,0,17742,17742,17742
SPWH,1/28/2017,7.78,5.23,-32.77634961439588,779956,516726,263230,0,202543,0,0,60687,0,60687,13402,47285,17616,0,0,29669,29669,29669
BNED,4/27/2019,4.43,1.66,-62.52821670428893,2034643,1506917,527726,0,424534,64981,65865,-27654,0,-27654,9780,-37434,-13060,0,0,-24374,-24374,-24374
BNED,4/28/2018,7.39,4.37,-40.86603518267929,2203617,1646384,557233,0,435791,318559,65586,-262703,0,-262703,10306,-273009,-20443,0,0,-252566,-252566,-252566
BNED,4/29/2017,10.42,7.19,-30.99808061420345,1874362,1415301,459061,0,390398,1790,53318,13555,0,13555,3464,10091,4730,0,0,5361,5361,5361
OBLN,12/31/2019,1.92,1.5,-21.874999999999996,3281,2950,331,6893,16668,0,0,-23230,-61,-23291,385,-23676,0,0,0,-23676,-23676,-23676
OBLN,12/31/2018,20.4,1.9,-90.68627450980392,9101,5423,3678,10697,29946,0,0,-36965,-189,-37154,226,-37380,0,0,0,-37380,-37380,-37380
OBLN,12/31/2017,67,20.7,-69.1044776119403,9914,4829,5085,10647,28829,0,0,-34391,-239,-34630,135,-34765,0,0,0,-34765,-34765,-34765
OBLN,12/31/2016,88.6,71.5,-19.300225733634306,3393,2809,584,9872,10217,0,0,-19505,-485,-19990,477,-20467,0,0,0,-20467,-20467,-20467
REG,12/31/2019,63.47,45.59,-28.170789349298875,1133138,306145,826993,0,82798,0,374283,369912,-36346,333566,151264,182302,0,60956,-3828,409750,239430,239430
REG,12/31/2018,58.29,63.09,8.234688625836343,1120975,305890,815085,0,75228,0,359688,380169,-22362,357807,148456,209351,0,42974,-3198,447306,249127,249127
REG,12/31/2017,69.33,58.68,-15.361315447858066,984326,253713,730613,0,156849,0,334201,239563,18968,248794,122892,125902,0,43341,-2903,279793,176077,159949
REG,12/31/2016,68.96,69.54,0.8410672853828488,614371,161417,452954,0,79408,0,162327,211219,-10033,201186,90712,110474,0,56518,-2070,261156,164922,143860
EDN,12/31/2019,6.2,4.24,-31.612903225806452,1502245,1222396,279849,0,219776,0,0,60096,433789,493885,112945,380940,178275,23,0,389613,202665,202665
EDN,12/31/2018,27.06,6.26,-76.86622320768662,2284650,1747097,537553,0,376692,0,0,160926,294406,455332,203205,252127,76656,65,0,522758,175470,175470
EDN,12/31/2017,50.02,27.06,-45.9016393442623,3234918,2456019,778899,0,586085,0,0,193635,472983,666619,209949,456670,41663,821,0,865503,415006,415006
EDN,12/31/2016,27.95,50.05,79.06976744186046,1632023,1595797,36225,0,212475,0,0,-176249,364386,188137,163616,24521,9306,0,0,360815,15215,15215
MDLZ,12/31/2019,55.06,58.47,6.193243734108239,25868000,15531000,10337000,0,6136000,228000,174000,3843000,104000,3903000,456000,3447000,2000,440000,-15000,3870000,3870000,3870000
MDLZ,12/31/2018,39.7,55.08,38.74055415617127,25938000,15586000,10352000,0,6475000,389000,176000,3312000,50000,3362000,520000,2842000,773000,1326000,-14000,3381000,3381000,3381000
MDLZ,12/31/2017,43.22,40.03,-7.3808422026839375,25896000,15862000,10034000,0,5938000,642000,178000,3462000,230000,3506000,382000,3124000,666000,384000,-14000,2828000,2828000,2828000
MDLZ,12/31/2016,44.71,42.41,-5.1442630284052875,25923000,15819000,10104000,0,6546000,837000,176000,2554000,24000,2569000,1115000,1454000,114000,305000,-10000,1635000,1635000,1635000
VOXX,2/28/2019,5,3.71,-25.8,446816,325399,121417,24387,107850,30377,0,-41197,-19935,-54514,4449,-58963,-6131,6618,6741,-52832,-46091,-46091
VOXX,2/28/2018,5.35,5,-6.542056074766349,507092,374795,132297,26440,124956,0,0,-19099,-6174,-18095,6009,-24104,-17445,7178,7345,-6659,35304,35304
VOXX,2/28/2017,5.05,5.4,6.930693069306942,514530,370500,144030,29517,122681,0,0,-8168,-454,-1825,7105,-8930,338,6797,7624,-9268,4422,4422
AEHR,5/31/2019,1.78,1.63,-8.42696629213484,21056,13454,7602,4153,7724,725,0,-5000,44,-5208,0,-5208,27,0,0,-5235,-5235,-5235
AEHR,5/31/2018,2.6,1.75,-32.69230769230769,29555,17169,12386,4181,7290,0,0,915,-61,455,0,455,-73,0,0,528,528,528
AEHR,5/31/2017,4.6,2.6,-43.47826086956521,18898,12118,6780,4657,7052,0,0,-4929,-21,-4950,678,-5628,25,0,0,-5653,-5653,-5653
KURA,12/31/2019,13.88,32.66,135.30259365994232,0,0,0,47826,19653,0,0,-67479,4919,-62560,580,-63140,0,0,0,-63140,-63140,-63140
KURA,12/31/2018,13.82,13.75,-0.5065123010130267,0,0,0,46787,16096,0,0,-62883,3406,-59477,970,-60447,0,0,0,-60447,-60447,-60447
KURA,12/31/2017,15.5,14.04,-9.419354838709683,0,0,0,26426,9651,0,0,-36077,1531,-34546,888,-35434,0,0,0,-35434,-35434,-35434
KURA,12/31/2016,5.9,15.45,161.86440677966098,0,0,0,20404,7963,0,0,-28367,1384,-26983,577,-27560,0,0,0,-27560,-27560,-27560
LSXMK,12/31/2019,48.14,43.51,-9.617781470710433,10292000,5248000,5044000,0,2429000,84000,1061000,1470000,-306000,1170000,657000,513000,166000,6000,-241000,112000,106000,106000
LSXMK,12/31/2018,36.57,48.14,31.63795460760186,8040000,4051000,3989000,0,1570000,3000,905000,1511000,118000,1647000,606000,1041000,176000,18000,-334000,549000,531000,531000
LSXMK,12/31/2017,39.42,36.98,-6.189751395230859,7594000,3820000,3774000,0,1556000,0,824000,1394000,-80000,1418000,591000,827000,-1063000,104000,-536000,1458000,1354000,1354000
LSXMK,12/31/2016,33.62,38.74,15.229030339083893,5276000,2507000,2769000,0,1192000,-511000,354000,1734000,33000,1781000,362000,1419000,495000,14000,-244000,694000,680000,680000
GABC,12/31/2019,35.67,33.09,-7.232968881412947,221975,23805,0,0,110441,0,9046,0,0,78683,7444,71239,12017,0,0,59222,59222,59222
GABC,12/31/2018,28.53,35.62,24.85103399929897,170819,13625,0,0,91801,0,3822,0,0,61571,5514,56057,9528,0,0,46529,46529,46529
GABC,12/31/2017,35.57,27.77,-21.92859150969919,142884,7094,0,0,76861,0,2692,0,0,56237,4027,52210,11534,0,0,40676,40676,40676
GABC,12/31/2016,35.4,34.9,-1.4124293785310735,135378,5187,0,0,75525,0,2262,0,0,52404,3274,49130,13946,0,0,35184,35184,35184
PNNT,9/30/2019,6.31,3.19,-49.44532488114104,83163,0,83163,0,37366,9243,0,45797,-28672,46068,28943,17125,1200,0,0,15925,15925,15925
PNNT,9/30/2018,7.46,6.27,-15.951742627345851,85460,0,85460,0,33553,-1427,0,53334,-5621,70532,22818,47713,0,0,0,47713,47713,47713
PNNT,9/30/2017,7.51,7.49,-0.26631158455392245,97892,0,97892,0,45401,-1781,0,58138,5273,90054,26642,63412,1700,0,0,61712,61712,61712
MDGSW,12/31/2019,0.5,0.38,-24.0,273,455,-182,609,13413,0,0,-14420,241,-14179,0,-14179,-1,-216,0,-14394,-14178,-14178
MDGSW,12/31/2018,0.6,0.5,-16.666666666666664,436,607,-171,1809,4692,0,0,-6672,94,-6578,0,-6578,20,0,0,-6598,-6598,-6598
MDGSW,12/31/2017,0.6,0.53,-11.666666666666659,467,516,-49,2208,3851,0,0,-6108,3556,-2552,0,-2552,-7,0,0,-2545,-2545,-2545
MDGSW,12/31/2016,0.6,0.6,0.0,549,176,373,3655,5809,0,0,-9091,112,-8979,0,-8979,28,0,0,-9007,-9007,-9007
CORR,12/31/2019,44.71,6.85,-84.67904271974949,85946,5242,80703,0,10597,0,22582,47525,-32632,14893,10579,4314,235,0,0,4079,4079,-5176
CORR,12/31/2018,32.75,44.71,36.51908396946565,89232,7211,82021,0,13043,-37,24947,44067,9985,54052,12759,41293,-2419,0,0,43712,43712,34163
CORR,12/31/2017,38.2,33.08,-13.403141361256555,88749,6730,82020,0,10786,0,24048,47185,1875,49060,12379,36682,2345,0,-1734,32603,32603,24649
CORR,12/31/2016,34.9,38.89,11.432664756446998,89251,6463,82787,0,12270,5014,22523,42980,1965,44945,14418,30527,-464,0,-1328,29663,29663,25515
VSEC,12/31/2019,38.17,38.49,0.8383547288446431,752627,668861,83766,0,4192,0,19317,60257,0,60257,13830,46427,9403,0,0,37024,37024,37024
VSEC,12/31/2018,29.83,38.04,27.522628226617506,697218,624957,72261,0,3714,0,16017,54230,1700,54230,8982,45248,10168,0,0,35080,35080,35080
VSEC,12/31/2017,49.78,29.91,-39.91562876657292,760113,687342,72771,0,2429,0,16017,54325,0,54325,9240,45085,5989,0,0,39096,39096,39096
VSEC,12/31/2016,39.62,49.38,24.634023220595672,691790,617585,74205,0,6609,0,16067,51529,0,51529,9855,41674,14881,0,0,26793,26793,26793
BOX,1/31/2019,21,15.03,-28.428571428571434,608386,173594,434792,163750,405279,0,0,-134237,1339,-132898,316,-133214,1398,0,0,-134612,-134612,-134612
BOX,1/31/2018,22.1,20.92,-5.339366515837103,506142,135248,370894,136791,388124,0,0,-154021,789,-153232,1013,-154245,715,0,0,-154960,-154960,-154960
BOX,1/31/2017,17.08,22.24,30.210772833723656,398605,112130,286475,115928,321202,0,0,-150655,678,-149977,896,-150873,914,0,0,-151787,-151787,-151787
