Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,Sales General and Admin.,Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income-Cont. Operations,Net Income,Net Income Applicable to Common Shareholders
BPYUP,12/31/2017,24.335,22.121,-9.098006985822897,2327862,718401,1609461,0,67176,10701,693327,838257,194915,978060,541945,436115,-10896,164750,-9539,1148561,657334,657334
BPYUP,12/31/2016,24.335,24.335,0.0,2346446,705855,1640591,0,68900,110692,660746,800253,796951,1597204,571200,1026004,901,283170,-19906,2314371,1288367,1288367
CHEF,12/27/2019,37.99,24.45,-35.64095814688076,1591834,1185481,406353,0,0,0,0,50768,-101,50667,18264,32403,8210,0,0,24193,24193,24193
CHEF,12/28/2018,31.45,37.95,20.667726550079504,1444609,1077562,367047,0,0,0,0,48758,-169,48589,20745,27844,7442,0,0,20402,20402,20402
CHEF,12/29/2017,20.35,31.98,57.14987714987715,1301520,972142,329378,0,0,0,0,41127,-10,41117,22709,18408,4042,0,0,14366,14366,14366
CHEF,12/30/2016,16,21.2,32.49999999999999,1192866,891649,301217,0,0,0,0,47239,69,47308,41632,5676,2653,0,0,3023,3023,3023
ONDS,12/31/2019,18.0002,9.33,-48.16724258619349,320,79,241,5416,10197,0,0,-15372,-1089,-16461,2929,-19390,0,0,0,-19390,-19390,-19390
ONDS,12/31/2018,18.0002,18.0002,0.0,190,39,151,3077,5510,0,0,-8436,-998,-9433,2664,-12097,0,0,0,-12097,-12097,-12097
ONDS,12/31/2017,11.2501,18.0002,60.00035555239509,274,80,195,1003,1586,0,0,-2394,15,-2379,643,-3022,0,0,0,-3022,-3022,-3022
ONDS,12/31/2016,11.2501,11.2501,0.0,6,12,-7,0,25,2,0,-35,0,-35,0,-35,0,0,0,-35,-35,-35
SNCR,12/31/2019,4.79,4.7,-1.8789144050104354,308749,150407,158342,75568,112771,755,77036,-107788,9469,-99938,1355,-101293,2174,-1619,-1126,-103467,-103467,-136727
SNCR,12/31/2018,6.07,4.75,-21.746293245469527,325839,158802,167037,79172,122112,12375,117654,-164276,-65387,-258263,4911,-263174,-17894,-28600,8837,-245280,-226992,-243748
SNCR,12/31/2017,9.02,6.14,-31.929046563192905,402361,181453,220908,90850,154037,10739,94884,-129602,-34589,-173316,55771,-229087,-34863,-9125,9291,-194224,-118729,-109438
SNCR,12/31/2016,38.76,9.13,-76.44478844169245,426294,194684,231610,114493,127422,6333,105966,-122604,2929,-119675,7414,-127089,-33220,0,15203,-93869,-3309,11894
ORTX,12/31/2019,13.81,4.32,-68.71832005792903,2513,805,1708,117363,57218,0,0,-172873,8749,-164124,1538,-165662,-2240,0,0,-163422,-163422,-163422
ORTX,12/31/2018,15.66,13.75,-12.196679438058748,2076,422,1654,205319,31366,0,0,-235031,5506,-229525,0,-229525,970,0,0,-230495,-230495,-230495
ORTX,12/31/2017,17,15.73,-7.470588235294115,0,0,0,32527,5985,0,0,-38512,-1179,-39691,0,-39691,53,0,0,-39744,-39744,-39744
ORTX,12/31/2016,17,14,-17.647058823529413,0,0,0,16206,2997,0,0,-19203,138,-19065,0,-19065,20,0,0,-19085,-19085,-19085
LULU,2/3/2019,145.34,246.37,69.51286638227604,3288319,1472032,1816287,0,1110451,0,0,705836,9414,715250,0,715250,231449,0,0,483801,483801,483801
LULU,1/28/2018,78.81,149.7,89.95051389417584,2649181,1250391,1398790,0,904264,38525,0,456001,3997,459998,0,459998,201336,0,0,258662,258662,258662
LULU,1/29/2017,66.64,79.96,19.987995198079222,2344392,1144775,1199617,0,778465,0,0,421152,1577,422729,0,422729,119348,0,0,303381,303381,303381
OPNT,12/31/2019,14.95,8.03,-46.2876254180602,40520,0,40520,9079,12809,7720,0,10911,504,11416,0,11416,-177,0,0,11593,11593,11593
