Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Net Income,Depreciation,Net Income Adjustments,Accounts Receivable,Changes in Inventories,Other Operating Activities,Liabilities,Net Cash Flow-Operating,Capital Expenditures,Investments,Other Investing Activities,Net Cash Flows-Investing,Sale and Purchase of Stock,Net Borrowings,Other Financing Activities,Net Cash Flows-Financing,Effect of Exchange Rate,Net Cash Flow
BHP,6/30/2017,35.94,48.57,35.14190317195327,5890000,6184000,2460000,-3221000,1067000,-687000,-136000,16804000,-4663000,-47000,549000,-4161000,0,-5609000,-28000,-9133000,322000,3832000
ENOB,6/30/2019,4.58,4.21,-8.07860262008734,-18016,72,9239,240,120,0,-161,-8507,-717,0,0,-717,6020,0,0,6020,-115,-3319
ENOB,6/30/2018,3.535,4.46,26.166902404526162,-6312,30,2027,-42,97,0,-139,-4338,-30,-251,-295,-576,16713,0,0,16713,-140,11659
ENOB,6/30/2017,6,4.3,-28.33333333333334,-2143,35,985,-643,609,0,-20,-1177,0,-196,0,-196,3510,1997,0,5507,-215,3918
LFT,12/31/2019,3.22,3.27,1.5527950310558951,6249,2016,1322,-1943,88,0,-450,7282,0,33042,-75340,-42298,-40250,39233,0,-8186,0,-43202
LFT,12/31/2018,2.85,3.23,13.333333333333329,-5471,2456,12494,1339,1648,0,-193,12272,0,1232430,-210632,1021798,7350,215374,-1234522,-1020479,0,13591
LFT,12/31/2017,4,2.86,-28.500000000000004,4707,-1476,1908,-866,-1548,0,36,4238,0,-430139,-486,-430625,19836,0,429711,434121,0,7733
LFT,12/31/2016,5,3.99,-20.199999999999996,-10427,-6752,11639,2151,-707,0,-315,2341,0,-229183,12239,-216945,15220,0,236379,218178,0,3574
ARCC,12/31/2019,18.69,16.89,-9.630818619582667,793000,14000,-1978000,72000,-26000,0,-85000,-1210000,0,0,0,0,64000,1720000,0,1090000,0,-120000
ARCC,12/31/2018,15.44,18.65,20.7901554404145,858000,11000,-581000,-23000,2000,0,37000,304000,0,0,0,0,0,332000,0,-324000,0,-20000
ARCC,12/31/2017,15.81,15.58,-1.4547754585705277,667000,14000,-2733000,-56000,28000,0,32000,-2048000,0,0,0,0,1839000,944000,0,2141000,0,93000
ARCC,12/31/2016,16.44,15.92,-3.1630170316301784,474000,14000,220000,-16000,26000,0,-11000,707000,0,0,0,0,-5000,-259000,0,-741000,0,-34000
LEO,9/30/2008,7.22,7.36,1.9390581717451603,-34729,0,0,0,0,0,0,-34729,0,0,0,0,398,0,0,-40283,0,-75012
LEO,9/30/2007,7.22,7.36,1.9390581717451603,19792,0,0,0,0,0,0,9523,0,0,0,0,1248,0,0,-29316,0,-19793
LEO,9/30/2006,7.22,7.36,1.9390581717451603,45564,0,0,0,0,0,0,45564,0,0,0,0,0,0,0,-40437,0,5127
LEO,9/30/2005,7.22,7.36,1.9390581717451603,52452,0,0,0,0,0,0,46686,0,0,0,0,0,0,0,-34657,0,12029
APYX,12/31/2019,8.41,7.2,-14.387633769322235,-19706,754,3796,3424,-3970,-2367,-406,-18475,-1301,61842,0,60541,207,-60,0,147,3,42216
APYX,12/31/2018,7.96,8.46,6.28140703517589,62719,669,-66591,-15565,-447,1185,-2851,-20881,-363,-61431,91095,29301,202,-2694,0,-2492,0,5928
APYX,12/31/2017,2.58,6.48,151.16279069767444,-5062,696,676,687,-303,-368,-30,-3704,-624,0,0,-624,0,-239,0,-239,0,-4567
APYX,12/31/2016,3.6,2.58,-28.333333333333332,-3950,734,875,1155,-1894,-201,444,-2837,-286,0,0,-286,5954,-240,0,5714,0,2591
BPYUP,12/31/2019,25.23,22.87,-9.353943717796271,432880,510357,-601288,1317,34790,0,358,428129,-1391346,-122779,185167,-1328958,-60916,1850908,0,877648,0,-23181
BPYUP,12/31/2018,22.09,25.11,13.671344499773651,4090541,669258,-4111990,-59352,-40790,0,-37931,584549,-738185,385014,3050301,2697130,1665583,5144364,-3107,-3214925,0,66754
